epoch,train_loss,val_acc,lr
1,23.53950108590198,0.021739130434782608,0.0006021897810218978
2,5.94092837629348,0.021739130434782608,0.0012021897810218978
3,2.5919883019072523,0.03887468030690537,0.001802189781021898
4,2.1132437512765523,0.03644501278772379,0.002402189781021898
5,1.9039328720123125,0.21675191815856779,0.003
6,1.6849682208725456,0.5001278772378517,0.0029999149424493722
7,1.5344460225301766,0.7872122762148338,0.002999659779443871
8,1.4721711258754095,0.9382352941176471,0.0029992345399215505
9,1.3860663918887868,0.9727621483375959,0.0029986392721088537
10,1.3352297202671546,0.9854219948849104,0.0029978740435151426
11,1.3062849924489157,0.989386189258312,0.002996938940925045
12,1.2904143276794555,0.9919437340153453,0.0029958340703886074
13,1.2505919254581574,0.992838874680307,0.002994559557209273
14,1.2344054844068444,0.9933503836317136,0.002993115545929667
15,1.2047367372374604,0.9938618925831202,0.002991502200315206
16,1.1766299788401051,0.9941176470588236,0.002989719703335525
17,1.1938881885195767,0.9942455242966752,0.002987768257143727
18,1.1519453453590802,0.9945012787723785,0.0029856480830534565
19,1.135954730203796,0.9943734015345268,0.0029833594215138
20,1.1584915813718135,0.9947570332480818,0.002980902532082017
21,1.1025621419062699,0.9950127877237852,0.002978277693394104
22,1.1012142733167132,0.9950127877237852,0.0029754852031331942
23,1.0672451638267542,0.9952685421994885,0.002972525377995796
24,1.0834703454648815,0.9952685421994885,0.002969398553655878
25,1.0848226913100922,0.9955242966751918,0.0029661050847268
26,1.0321384862459122,0.9956521739130435,0.0029626453447210953
27,1.0373881696401315,0.9957800511508952,0.0029590197260081124
28,1.0250337345419231,0.9955242966751918,0.002955228639769513
29,1.0383898751035812,0.9953964194373401,0.0029512725159526435
30,1.0218036188731041,0.9955242966751918,0.002947151803221774
31,1.0235920389256175,0.9956521739130435,0.002942866968907213
32,0.991172466836351,0.9955242966751918,0.0029384184989523087
33,1.00553866703763,0.9957800511508952,0.0029338068978583395
34,0.9813796437711464,0.9953964194373401,0.002929032688627297
35,0.9932878421090753,0.9956521739130435,0.002924096412702572
36,0.9745066426768497,0.9953964194373401,0.0029189986299075505
37,0.9590609473239023,0.9955242966751918,0.002913739918382123
38,0.9842988112054788,0.9956521739130435,0.0029083208745171196
39,0.9485896232758912,0.9955242966751918,0.00290274211288667
40,0.9644252541865365,0.9956521739130435,0.002897004266178508
41,0.9682065401676196,0.9955242966751918,0.0028911079851222147
42,0.9630771490619006,0.9957800511508952,0.002885053938415424
43,0.9340873436414237,0.9955242966751918,0.0028788428126479814
44,0.9549779809039572,0.9955242966751918,0.002872475312224079
45,0.9266743761058828,0.9956521739130435,0.00286595215928237
46,0.9241914212009249,0.9955242966751918,0.00285927409361407
47,0.9208314106998947,0.9957800511508952,0.0028524418725790566
48,0.9509534327947948,0.9956521739130435,0.0028454562710199796
