epoch,train_loss,val_acc,lr
1,2.9055811139188323,0.022250639386189257,0.0006021897810218978
2,1.6188615699761562,0.021739130434782608,0.0012021897810218978
3,1.4787354911854065,0.021739130434782608,0.001802189781021898
4,1.3552319345910564,0.06892583120204604,0.002402189781021898
5,1.3538317310434067,0.23823529411764705,0.003
6,1.2575407519805293,0.6153452685421995,0.002993961440992859
7,1.258339891707433,0.8705882352941177,0.0029758943828979444
8,1.279353437236711,0.9551150895140665,0.00294594429104378
9,1.2941514861011207,0.9772378516624041,0.002904352305959606
10,1.217582569517985,0.9850383631713555,0.002851453301853629
11,1.1598976302194337,0.9892583120204603,0.002787673190402799
12,1.2072061504549383,0.9915601023017903,0.002713525491562421
13,1.1418453666424677,0.9925831202046036,0.0026296071990054167
14,1.2414109299690352,0.9929667519181585,0.002536593973480297
15,1.1511053407825709,0.9929667519181585,0.0024352347027881004
16,1.1714664666278012,0.9933503836317136,0.002326345472178154
17,1.2050118301361248,0.9936061381074168,0.002210802993709498
18,1.1183339059606945,0.9936061381074168,0.0020895375474808855
19,1.1535537368501239,0.9941176470588236,0.0019635254915624212
20,1.1552939187060978,0.9943734015345268,0.0018337814009344716
21,1.100783617085237,0.9943734015345268,0.0017013498987264832
22,1.150455568513602,0.9945012787723785,0.0015672972455257725
23,1.1674746180298858,0.9943734015345268,0.0014327027544742282
24,1.135783300158584,0.9943734015345268,0.0012986501012735173
25,1.0782362894295088,0.9943734015345268,0.0011662185990655284
26,1.1409549200389155,0.9941176470588236,0.001036474508437579
27,1.089707709158236,0.9947570332480818,0.0009104624525191146
28,1.1605614313384152,0.9948849104859335,0.000789197006290502
29,1.0574685435228708,0.9947570332480818,0.0006736545278218464
30,1.0752855975711233,0.9950127877237852,0.0005647652972118998
31,1.1544105221920984,0.9950127877237852,0.000463406026519703
32,1.083590846537324,0.9950127877237852,0.00037039280099458374
33,1.0488816042588698,0.9947570332480818,0.000286474508437579
34,1.060758284243307,0.9948849104859335,0.00021232680959720084
35,1.0798052515418533,0.9948849104859335,0.00014854669814637144
36,1.059317618887951,0.9948849104859335,9.56476940403942e-05
37,1.0934534207837558,0.9951406649616368,5.405570895622014e-05
38,1.063823869926884,0.9952685421994885,2.4105617102055498e-05
39,1.0674416455601927,0.9953964194373401,6.038559007141398e-06
40,1.0299266102978641,0.9955242966751918,0.0
